ip_id,label,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd,prov
1,0.0,1990.0,2011-12-11,0.0,45864.0,876428.0,2.0,2.0,3.0,9,
2,0.0,1986.0,2010-06-08,1.0,43355.0,540649.0,2.0,2.0,1.0,3,ลำพูน                                   
3,0.0,1983.0,2013-12-06,0.0,48836.0,310503.0,2.0,2.0,2.0,12,
4,0.0,1984.0,2009-12-27,0.0,44397.0,34209.0,2.0,2.0,5.0,11,
5,0.0,1986.0,2006-09-01,1.0,43281.0,39963.0,2.0,3.0,6.0,9,
6,0.0,1987.0,2005-06-17,0.0,49867.0,590634.0,2.0,4.0,2.0,12,นครปฐม                                  
6,0.0,1987.0,2005-06-17,0.0,49867.0,590634.0,2.0,4.0,2.0,12,นครราชสีมา                              
7,0.0,1984.0,2014-07-30,1.0,42205.0,500.0,2.0,3.0,2.0,6,
8,0.0,1976.0,2014-06-27,0.0,42422.0,845055.0,2.0,2.0,6.0,2,นครราชสีมา                              
9,0.0,1983.0,2006-04-21,1.0,38264.0,1717875.0,1.0,2.0,3.0,2,
10,0.0,1971.0,2012-04-07,0.0,36869.0,1070116.0,2.0,3.0,4.0,7,
11,0.0,1986.0,2018-01-11,0.0,38003.0,397567.0,1.0,4.0,2.0,4,
12,0.0,1974.0,2010-09-29,0.0,40798.0,500.0,2.0,2.0,2.0,1,ปทุมธานี                                
12,0.0,1974.0,2010-09-29,0.0,40798.0,500.0,2.0,2.0,2.0,1,อุตรดิตถ์                               
13,0.0,1975.0,2010-02-10,0.0,52613.0,113162.0,1.0,2.0,2.0,2,
14,0.0,1981.0,2008-09-27,0.0,47852.0,500.0,2.0,4.0,1.0,9,พังงา                                   
14,0.0,1981.0,2008-09-27,0.0,47852.0,500.0,2.0,4.0,1.0,9,ภูเก็ต                                  
14,0.0,1981.0,2008-09-27,0.0,47852.0,500.0,2.0,4.0,1.0,9,มุกดาหาร                                
15,0.0,1977.0,2009-01-03,0.0,51124.0,210259.0,2.0,2.0,3.0,3,
16,0.0,1978.0,2013-09-20,2.0,46200.0,500.0,2.0,1.0,6.0,7,ปัตตานี                                 
17,0.0,1980.0,2011-07-19,0.0,37366.0,500.0,1.0,4.0,6.0,5,
18,0.0,1986.0,2011-10-25,1.0,42875.0,110451.0,1.0,2.0,2.0,7,
19,0.0,1973.0,2009-12-17,0.0,44089.0,500.0,2.0,4.0,6.0,5,
